V1	V2	semantics
bring-through	02557529	social
bring-to	00022092	body
bring-to-bear	02566914	social
bring-up	01633150	creation
brisk	00206174	change
brisk-up	00206174	change
brisken	00206174	change
bristle	02721470	stative
bristle-at	00850574	communication
bristle-up	00850574	communication
broach	00966943	communication
broadcast	00975088	communication
broaden	00318370	change
broadside	01239795	contact
brocade	01678138	creation
broider	01671502	creation
broil	00329180	change
broker	02266271	possession
bromate	00526754	change
brominate	00526754	change
bronze	00282673	change
brooch	01551358	contact
brood	00706015	cognition
brook	00670017	cognition
broom	01396368	contact
browbeat	01785339	emotion
brown	00321047	change
brown-nose	00883055	communication
browse	02331351	possession
bruise	01495382	contact
bruit	01044100	communication
brunch	01188137	consumption
brush	01246373	contact
brush-aside	00802592	communication
brush-down	00827309	communication
brush-off	00802592	communication
brush-on	01267950	contact
brush-up	00698618	cognition
brutalise	02521600	social
brutalize	02521600	social
bubble	00520136	change
bubble-over	01766953	emotion
bubble-up	01994960	motion
buccaneer	02622065	stative
buck	02537166	social
buck-up	01810374	emotion
bucket	01505080	contact
bucket-along	02062918	motion
buckle	01551072	contact
buckle-down	02426299	social
buckle-under	00806138	communication
buckram	00418900	change
bud	00358652	change
budge	01897981	motion
budget	00725991	cognition
budget-for	00725813	cognition
buff	01420232	contact
buffalo	01783927	emotion
buffer	00514425	change
buffet	01420359	contact
bug	01807344	emotion
